Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Latitude;Longitude;Speed
20190405_174228;-0.019;-0.271;10.281;0.012;-0.049;0.004;49.04130;13.23040;0.1
20190405_174228;-0.081;-0.268;9.694;-0.011;-0.010;-0.001;49.04130;13.23040;0.1
20190405_174228;-0.213;-0.077;10.219;-0.002;-0.001;0.004;49.04130;13.23040;0.1
20190405_174228;-0.491;-0.069;9.900;-0.004;-0.009;-0.002;49.04130;13.23040;0.1
20190405_174229;-0.201;-0.151;9.469;0.004;0.001;0.003;49.04130;13.23040;0.1
20190405_174229;-0.024;-0.268;9.259;-0.011;0.002;0.001;49.04130;13.23040;0.1
20190405_174229;-0.120;-0.366;10.298;-0.004;0.003;0.003;49.04130;13.23040;0.1
20190405_174229;-0.335;-0.271;10.216;-0.007;0.008;-0.000;49.04130;13.23040;0.1
20190405_174229;-0.524;-0.366;10.595;0.003;0.003;0.002;49.04130;13.23040;0.1
20190405_174229;-0.335;-0.177;9.749;-0.000;0.000;0.002;49.04130;13.23040;0.1
20190405_174229;0.002;-0.438;9.014;-0.008;0.012;-0.001;49.04130;13.23040;0.1
20190405_174229;-0.242;-0.642;10.113;0.005;0.002;-0.002;49.04130;13.23040;0.1
20190405_174229;-0.283;-0.555;9.532;-0.010;-0.002;-0.007;49.04130;13.23040;0.1
20190405_174230;0.005;-0.424;9.084;0.006;0.037;-0.005;49.04130;13.23040;0.0
20190405_174230;0.022;-0.486;9.196;0.008;-0.003;-0.006;49.04130;13.23040;0.0
20190405_174230;-0.227;-0.594;10.161;-0.020;-0.008;-0.008;49.04130;13.23040;0.0
20190405_174230;-0.251;-0.376;9.489;-0.009;0.017;-0.015;49.04130;13.23040;0.0
20190405_174230;0.010;-0.599;9.510;-0.005;0.026;-0.017;49.04130;13.23040;0.0
20190405_174230;-0.108;-0.481;9.412;-0.016;0.018;-0.017;49.04130;13.23040;0.0
20190405_174230;-0.618;-0.510;10.401;0.007;0.034;-0.014;49.04130;13.23040;0.0
20190405_174230;-0.206;-0.089;9.558;0.003;0.030;-0.018;49.04130;13.23040;0.0
