Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190327-133728;-0.125;-0.077;9.754;0.004;-0.033;0.001;
20190327-133728;-0.117;-0.060;9.752;-0.002;-0.000;0.000;
20190327-133728;-0.113;-0.060;9.754;-0.002;-0.002;0.000;
20190327-133728;-0.113;-0.065;9.745;-0.003;-0.001;0.000;
20190327-133728;-0.115;-0.067;9.747;-0.002;0.000;0.001;
20190327-133728;-0.108;-0.069;9.749;-0.002;-0.001;0.001;
20190327-133728;-0.127;-0.074;9.754;-0.002;-0.001;0.001;
20190327-133728;-0.122;-0.074;9.749;-0.001;-0.001;0.001;
20190327-133728;-0.136;-0.079;9.749;-0.002;-0.000;0.001;
20190327-133729;-0.120;-0.069;9.752;-0.002;-0.001;-0.001;
20190327-133729;-0.108;-0.074;9.752;-0.001;-0.001;0.001;
20190327-133729;-0.096;-0.062;9.745;-0.002;-0.000;0.001;
20190327-133729;-0.117;-0.069;9.747;-0.002;0.000;0.001;
20190327-133729;-0.120;-0.067;9.757;-0.002;-0.001;0.001;
20190327-133729;-0.113;-0.074;9.754;-0.002;-0.000;0.001;
20190327-133729;-0.136;-0.060;9.738;-0.001;-0.000;0.001;
20190327-133729;-0.113;-0.065;9.752;-0.002;-0.001;0.001;
20190327-133730;-0.122;-0.067;9.752;-0.002;0.000;0.001;
20190327-133730;-0.120;-0.072;9.752;-0.002;-0.001;0.001;
20190327-133730;-0.132;-0.079;9.747;-0.002;-0.001;0.001;
20190327-133730;-0.096;-0.069;9.757;-0.001;-0.000;0.001;
20190327-133730;-0.129;-0.062;9.730;-0.002;-0.000;0.001;
20190327-133730;-0.129;-0.062;9.752;-0.002;-0.000;0.001;
20190327-133730;-0.120;-0.069;9.749;-0.002;-0.000;0.001;
20190327-133730;-0.122;-0.062;9.747;-0.002;-0.000;0.001;
20190327-133730;-0.125;-0.055;9.738;-0.003;-0.000;0.000;
20190327-133731;-0.115;-0.074;9.757;-0.002;-0.001;0.000;
20190327-133731;-0.117;-0.072;9.752;-0.002;-0.001;0.001;
