Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Pressure;Proximity;Latitude;Longitude;Elevation;Speed
20190101_172034;-0.017;-0.022;9.773;-0.002;-0.000;0.002;74.0;50.500;-5.600;-133.400;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172034;-0.038;-0.024;9.771;0.000;-0.001;0.000;74.0;50.000;-5.500;-134.100;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172034;-0.022;-0.002;9.778;0.001;-0.001;-0.002;74.0;49.500;-5.400;-134.100;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172034;-0.038;-0.019;9.764;0.000;-0.001;0.001;74.0;49.400;-5.400;-134.200;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172034;-0.045;-0.024;9.761;0.001;0.001;0.000;74.0;49.300;-5.500;-134.000;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172034;-0.017;-0.026;9.766;0.000;-0.000;0.001;72.0;49.400;-5.600;-134.400;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172034;-0.007;-0.019;9.764;0.001;0.002;0.000;72.0;49.400;-5.500;-134.400;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172034;-0.034;-0.012;9.769;-0.001;0.001;0.001;72.0;49.500;-5.500;-134.300;949.0;8.0;49.04123;13.23038;626.9;3.5
20190101_172035;-0.041;-0.002;9.761;-0.000;-0.001;-0.001;72.0;49.500;-5.500;-134.000;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;-0.024;-0.031;9.757;0.001;0.001;-0.001;72.0;49.500;-5.500;-134.300;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;-0.031;-0.041;9.773;-0.000;-0.002;0.000;72.0;49.800;-5.500;-134.200;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;-0.014;-0.043;9.759;-0.004;-0.002;0.001;72.0;50.400;-5.500;-133.700;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;-0.002;-0.012;9.761;-0.000;0.001;0.000;74.0;50.500;-5.600;-133.500;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;-0.036;-0.024;9.759;0.000;0.001;-0.001;74.0;50.000;-5.500;-133.900;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;0.002;-0.050;9.759;0.001;0.000;0.000;74.0;49.700;-5.500;-134.300;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;-0.029;-0.010;9.771;-0.001;0.002;0.000;74.0;49.500;-5.600;-134.100;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172035;-0.005;-0.038;9.757;-0.002;0.003;0.001;74.0;49.600;-5.700;-134.100;949.0;8.0;49.04122;13.23036;628.1;3.4
20190101_172036;0.000;-0.029;9.757;0.001;0.000;0.001;74.0;49.700;-5.700;-134.100;949.0;8.0;49.04121;13.23032;630.8;3.3
20190101_172036;-0.024;0.014;9.773;0.000;-0.000;-0.001;74.0;49.700;-5.600;-134.400;949.0;8.0;49.04121;13.23032;630.8;3.3
20190101_172036;-0.017;-0.019;9.764;0.002;0.000;-0.001;74.0;49.600;-5.500;-134.400;949.0;8.0;49.04121;13.23032;630.8;3.3
20190101_172036;-0.031;-0.002;9.790;0.001;-0.000;0.001;74.0;49.600;-5.400;-134.100;949.0;8.0;49.04121;13.23032;630.8;3.3
20190101_172036;-0.012;-0.017;9.761;-0.001;0.002;0.000;74.0;49.900;-5.500;-134.100;949.0;8.0;49.04121;13.23032;630.8;3.3
20190101_172036;-0.029;-0.031;9.761;0.001;0.000;0.000;74.0;49.800;-5.500;-134.300;949.0;8.0;49.04121;13.23032;630.8;3.3
