Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Magnetic_x;Magnetic_y;Magnetic_z;Pressure;Latitude;Longitude;Elevation;Speed
20190311_212841;-0.194;-0.017;9.759;0.005;-0.020;0.001;-3.900;-44.400;-158.100;946.4;0.00000;0.00000;0.0;0.0
20190311_212841;-0.175;0.000;9.771;-0.000;-0.001;0.000;-3.700;-44.300;-158.200;946.4;0.00000;0.00000;0.0;0.0
20190311_212842;-0.211;-0.019;9.764;0.001;-0.001;-0.001;-3.600;-44.400;-158.200;946.4;0.00000;0.00000;0.0;0.0
20190311_212842;-0.213;-0.026;9.757;0.000;0.001;-0.001;-3.600;-44.400;-158.400;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.199;-0.012;9.761;0.003;0.001;-0.001;-3.700;-44.400;-158.500;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.184;-0.024;9.764;0.002;-0.001;0.002;-3.700;-44.400;-158.300;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.204;-0.022;9.757;0.000;0.001;-0.002;-3.900;-44.400;-158.400;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.201;-0.012;9.757;-0.000;-0.001;0.000;-3.800;-44.400;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.184;-0.017;9.764;0.001;0.001;-0.001;-3.700;-44.500;-158.000;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.184;-0.022;9.757;-0.002;-0.001;-0.001;-3.400;-44.600;-157.700;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.204;-0.002;9.759;0.000;-0.000;0.001;-3.200;-44.600;-157.400;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.192;-0.026;9.757;0.000;-0.000;0.000;-3.100;-44.800;-157.300;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.189;0.005;9.759;-0.000;0.001;-0.000;-3.000;-44.800;-157.400;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.187;-0.036;9.757;0.001;0.001;0.000;-3.100;-44.700;-157.500;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.184;-0.031;9.759;-0.002;0.001;0.002;-3.500;-44.700;-157.800;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.218;-0.012;9.759;0.002;-0.001;0.000;-3.700;-44.800;-158.000;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.204;-0.038;9.757;0.001;0.001;-0.001;-3.800;-44.700;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.172;-0.048;9.757;0.000;0.001;0.000;-4.000;-44.700;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212842;-0.199;-0.019;9.764;0.002;0.002;0.001;-4.100;-44.700;-158.200;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.211;-0.022;9.757;0.000;-0.001;-0.000;-4.100;-44.700;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.172;-0.024;9.761;-0.001;0.001;0.001;-4.100;-44.600;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.184;-0.024;9.757;0.000;-0.001;-0.000;-4.100;-44.600;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.204;-0.010;9.757;-0.002;-0.001;-0.001;-3.900;-44.600;-158.000;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.213;-0.022;9.757;0.002;0.001;0.002;-4.000;-44.700;-158.000;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.201;-0.026;9.757;0.000;-0.000;-0.001;-4.000;-44.700;-158.000;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.187;-0.014;9.761;-0.001;-0.001;-0.001;-4.100;-44.800;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.208;-0.019;9.757;-0.001;-0.001;-0.000;-4.000;-44.800;-157.900;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.180;-0.022;9.757;0.003;-0.000;0.000;-4.200;-44.600;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.189;-0.022;9.759;0.000;0.002;-0.002;-4.100;-44.600;-158.100;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.184;-0.029;9.761;0.000;-0.001;0.000;-4.000;-44.600;-157.900;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.184;-0.031;9.759;0.001;-0.000;0.001;-3.900;-44.500;-158.000;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.189;-0.031;9.757;0.000;0.001;-0.001;-4.000;-44.500;-158.000;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.208;-0.026;9.764;0.001;-0.001;-0.001;-3.900;-44.600;-157.900;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.208;-0.036;9.757;-0.000;0.001;0.000;-4.000;-44.700;-157.900;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.196;-0.019;9.757;-0.000;0.002;-0.000;-4.000;-44.700;-157.900;946.5;0.00000;0.00000;0.0;0.0
20190311_212843;-0.184;-0.010;9.761;0.003;-0.001;-0.001;-3.900;-44.800;-157.900;946.5;0.00000;0.00000;0.0;0.0
